Language Name,Dialect(s) Name(s),Language Iso,Dialect(s) Iso,Language Glot,Dialect(s) Glot
Gresi-Kemtuik,"Gresi, Kemtuik",,"grs, kmt",gres1241,"gres1240, kemt1242"
Groma,"Lower Groma, Upper Groma",gro,,grom1238,"lowe1398, uppe1409"
Gronings,"Groningen-East Frisian, Veenkoloniaals, Westerwolds, West Groningen",gos,,gron1242,"gron1243, veen1238, west2359, west2360"
Gros Ventre,,ats,,gros1243,
Grusi,"East-West Grusi, Northern Grusi",,,grus1239,"east2740, nort2782"
Gser-Rdo,"Gserpa, Rdo",,,gser1236,"gser1237, rdoo1234"
Gua,"Anu (Ghana), Boso",gwx,,guaa1238,"anuu1242, boso1244"
Guachi,,,,guac1239,
Guachipas,,,,guac1240,
Gua-Cherepon,"Cherepon, Gua",,"cpn, gwx",guac1241,"cher1271, guaa1238"
Guadalcanal-Nggelic,"Nuclear Guadalcanal-Nggelic, Southeast Guadalcanal",,,guad1241,"nucl1470, sout2854"
Guadeloupe-Martinique Creole French,"Guadeloupean Creole French, Marie Galante Creole French, Martinique Creole French, St. Barth Creole French",gcf,,guad1242,"guad1243, mari1444, mart1259, stba1239"
Guahiboan,"Guayabero, Nuclear Guahiboan",,guo,guah1252,"guay1257, nucl1828"
Central Guahibo,"Cuiba, Guahibo-Playero",,cui,guah1253,"cuib1242, guah1254"
Guahibo-Playero,"Sikuani, Playero",,"guh, gob",guah1254,"guah1255, play1240"
Sikuani,"Hamorúa, Yamoti, Sikuani Parawá, Sikuani Waü, Tigrero, Xuraxura",guh,,guah1255,"amar1275, amor1238, nucl1665, siku1244, tigr1254, xura1234"
Guaicurian,,,,guai1237,
Guaicaro,,,,guai1246,
Guaicuruan,"Guaicuru del Sur, Kadiwéu",,kbc,guai1249,"guai1250, kadi1248"
Guaicuru del Sur,"Abipon, Qom",,axb,guai1250,"abip1241, qomm1235"
Guajá,"Anambe of Ehrenreich, Awá (Guajá)",gvj,,guaj1256,"anam1251, awag1234"
Guajiro-Paraujano,"Paraujano, Wayuu",,"pbg, guc",guaj1257,"para1316, wayu1243"
Guaja-Kaapor-Ava,"Avá-Canoeiro, Guaja-Aure-Aura, Unclassified Guaja-Kaapor-Ava, Urubú-Kaapor",,"avv, urb",guaj1258,"avac1239, guaj1260, unun9936, urub1250"
Guaja-Aure-Aura,"Aurê y Aurá, Guajá",,"aux, gvj",guaj1260,"aura1243, guaj1256"
Guale,,,,gual1239,
Guamo,"San José Guamo, Santa Rosa Guamo",,,guam1236,"sanj1287, sant1461"
Guambiano,,gum,,guam1248,
Khroskyabs,"Ere (China), Ergali, Guanyingqiao, Muerzong, Siyaowu, Taiyanghe, Xiaoyili, Yelong",jiq,,guan1266,"eree1240, erga1238, guan1252, muer1238, siya1242, taiy1241, xiao1245, yelo1242"
Guaná (Paraguay),"Echoladi, Layana",gva,,guan1268,"echo1239, laya1256"
Kotiria,,gvc,,guan1269,
Guanche,,gnc,,guan1277,
Guang,"North Guang, South Guang",,,guan1278,"nort3204, sout2781"
Guarayu,,gyr,,guar1292,
Baniva de Maroa,"Baniva de Guainia, Warekéna do Xiê",gae,,guar1293,"bani1260, ware1257"
Guatemalan Sign Language,,gsm,,guat1249,
Guató,,gta,,guat1253,
Guayabero,,guo,,guay1257,
Guaymiic,"Buglere, Ngäbere",,"sab, gym",guay1266,"bugl1243, ngab1239"
Gubeeher-Gufangor-Gubelor,,,,gube1234,
Gudang,,xgd,,guda1244,
Ngurlun,"Ngarnka, Wambayan",,"nji, wmb",guda1245,"ngar1283, wamb1258"
Gudang-Northeast Paman,"Gudang, Northeast Paman",,xgd,guda1246,"guda1244, nort3278"
