iso_code,glottocode
mep,miri1266
meu,motu1246
mev,mann1248
mey,hass1238
mez,meno1252
mfc,mbaa1245
mfe,mori1278
mfi,wand1278
mfr,mari1424
mfv,mand1419
mfy,mayo1264
mgd,moru1253
mge,mang1398
mgf,makl1246
mgh,makh1261
mgl,male1289
mgp,east2352
mgr,mamb1296
mgu,mail1248
mgw,matu1259
mhd,mbug1240
mhe,besi1244
mhj,mogh1245
mhk,mung1266
mhq,mand1446
mhs,buru1303
mhu,diga1241
mhv,arak1256
mhx,maru1249
mhy,maan1238
mhz,morm1235
mia,miam1252
mib,atat1238
mic,mikm1235
mid,nucl1706
mie,ocot1243
mih,chay1249
mik,mika1239
mil,peno1244
mim,alac1244
min,mina1268
mio,pino1237
miq,misk1235
miy,ayut1236
miz,coat1241
mjc,sanj1281
mjd,nort2951
mjg,huzh1238
mji,kimm1245
mjk,matu1261
mkd,mace1250
mke,mawc1242
mkj,moki1238
mks,sila1250
mky,east2440
mkz,maka1316
mla,malo1243
mle,mana1298
mlm,mula1253
mlp,barg1252
mlu,toab1237
mlv,motl1237
mme,maee1241
mmn,mama1275
mms,mams1234
mmy,miga1249
mna,mbul1263
mnb,muna1247
mnc,manc1252
mng,east2333
mnk,mand1436
mnr,mono1275
mns,mans1258
mnv,renn1242
mnw,monn1252
mnx,mani1235
mnz,moni1261
moc,moco1246
moe,mont1268
mof,mohe1244
mog,mong1342
moh,moha1258
moj,monz1249
mok,moro1289
mop,mopa1243
mor,moro1285
mot,bari1297
mov,moha1256
moy,shek1244
moz,muku1242
mpb,mull1237
mpc,mang1381
mpe,maja1242
mpj,mart1256
mpk,mbar1260
mpm,yoso1239
mpq,mati1255
mps,dadi1250
mpt,mian1256
mqf,momu1241
mqj,mama1276
mqs,west2600
mqy,mang1405
mra,mlab1235
mrc,mari1440
mrd,west2418
mrf,else1239
mrh,mara1382
mrj,west2392
mrn,chek1238
mrq,nort2845
mrw,mara1404
mrz,nucl1622
msj,made1252
mso,nucl1452
msu,muso1238
msy,arua1260
mte,mono1273
mtf,muri1260
mtg,unaa1239
mtk,mbee1250
mto,toto1305
mtq,muon1246
mua,mund1325
mug,musg1254
mus,cree1270
muz,murs1242
mva,mana1295
mvb,matt1238
mvc,mamc1234
mvf,peri1253
mvn,mina1269
mwd,
mwe,mwer1248
mwf,murr1258
mwp,kala1377
mwv,ment1249
mww,hmon1333
mxe,mele1250
mxk,nucl1458
mxp,tlah1239
mxt,jami1235
mxx,maho1249
myb,mbay1241
mye,myen1241
myh,maka1318
mym,meen1242
myp,pira1253
myu,mund1330
myv,erzy1239
myw,muyu1244
myy,macu1260
mzb,tumz1238
mzh,wich1264
mzm,nucl1240
mzn,maza1291
mzp,movi1243
nab,sout2994
nad,nija1242
naf,naba1256
nag,naga1394
nak,naka1262
nal,nali1244
nam,nang1259
nau,naur1243
nay,narr1259
nbc,chan1313
nbf,naxi1246
nbj,ngar1235
nbl,sout3270
nbm,ngba1284
nbw,sout2784
nbx,ngur1261
nce,yale1246
ncg,nisg1240
ncj,nort2957
nck,naka1260
ncl,mich1245
ncz,natc1249
ndi,samb1305
ndo,ndon1254
nds,nort2627
ndt,ndun1249
ndz,ndog1248
nee,kuma1276
neg,negi1245
nen,neng1238
new,newa1246
ney,neyo1238
nfl,ayiw1239
ngc,ngom1268
nge,ngem1255
ngi,ngiz1242
ngk,ngal1292
ngo,
ngu,guer1241
nhg,tete1251
nhn,cent2132
nhp,isth1241
nhr,naro1249
nhu,noon1243
nhw,west2624
nhx,isth1242
nia,nias1242
nid,ngan1295
nie,niel1243
nig,ngal1293
nih,nyih1240
nij,ngaj1237
nio,ngan1291
nir,nucl1633
niy,ngit1239
niz,ning1273
njb,noct1238
nju,ngad1258
nkf,inpu1234
nko,nkon1248
nkr,nuku1260
nlg,gela1263
nll,niha1238
nlr,ngar1286
nly,nyam1271
nmb,bign1238
nmd,ndum1239
nmg,kwas1243
nmm,mana1288
nmn,huaa1248
nni,nort2867
nnk,nank1250
nnm,nami1256
nnt,nant1249
noa,woun1238
nog,noga1249
not,noma1263
now,nyam1277
npa,narp1239
npy,napu1241
nrb,nara1262
nrl,ngar1287
nrm,naro1251
nrz,lala1268
nse,nsen1242
nsk,nask1242
nsl,norw1255
nsn,neha1247
nso,pedi1238
nsq,nort2968
nsz,nise1244
ntj,ngaa1240
ntm,nate1242
nto,ntom1248
ntp,nort2959
nuf,nusu1239
num,niua1240
nun,nung1282
nus,nuer1246
nut,nung1283
nux,mehe1243
nwi,sout2869
nxg,ngad1261
nxn,ngaw1240
nyh,nyig1240
nyi,amas1236
nyj,nyan1304
nym,nyam1276
nyo,nyor1246
nyp,nyan1313
nys,nyun1247
nyt,nyaw1247
nyv,nyul1247
nzk,nzak1247
nzm,zeme1240
nzs,newz1236
oaa,orok1265
oac,oroc1248
ocu,atzi1235
ogb,ogbi1239
ogo,khan1278
ogu,ogbr1243
ojs,seve1240
ojv,onto1237
oka,okan1243
oku,okuu1243
okv,orok1269
old,moch1256
oma,omah1247
omb,east2443
omg,omag1248
ona,onaa1245
ong,oloo1241
ono,onon1246
ons,onoo1246
oon,onge1236
opm,oksa1245
opt,opat1246
ore,orej1242
oro,orok1267
ort,adiv1239
oru,ormu1247
osa,osag1243
otm,east2556
otq,quer1236
otr,otor1240
otz,ixte1237
oua,taga1278
owi,owin1240
oyb,oyyy1238
oym,waya1270
pab,pare1272
pac,paco1243
pad,paum1247
pag,pang1290
pam,pamp1243
pao,nort2954
pap,papi1253
par,pana1305
pau,pala1344
pav,wari1268
paw,pawn1254
pay,pech1241
pbe,mezo1235
pbf,coyo1236
pbh,enap1235
pbr,pang1287
pbs,cent2145
pcm,nige1257
pdo,pado1242
peb,east2545
peh,bona1250
pei,chic1272
pej,nort2966
pgu,pagu1249
pia,pima1248
pib,yine1238
pid,piar1243
pif,ping1243
pim,powh1243
pio,piap1246
pip,pero1241
pir,pira1254
pit,pitt1247
piu,pint1250
piv,pile1238
pjt,pitj1243
pkn,paka1251
pko,poko1263
pks,paki1242
plg,pila1245
plh,paul1238
plo,olut1240
plu,pali1279
pma,paam1238
pmf,pamo1252
pmi,nort2723
pms,piem1238
pmt,tuam1242
pmw,plai1259
png,pong1250
pnw,pany1241
poa,poqo1257
pob,poqo1256
poc,poqo1253
poe,sanj1285
poi,high1276
pon,pohn1238
poo,cent2138
pos,sayu1241
pot,pota1247
pov,uppe1455
pox,pola1255
poy,pogo1243
ppk,umaa1242
ppl,pipi1250
ppo,folo1238
pqa,paaa1242
pqm,male1292
pre,prin1242
prk,para1301
prn,pras1239
prs,dari1249
prx,puri1258
psa,asue1235
psd,plai1235
psr,port1277
pss,kaul1240
psw,port1285
ptp,pate1247
ptu,bamb1270
pue,puel1244
pui,puin1248
puo,puoc1238
puw,pulu1242
pwa,pawa1255
pwg,gapa1238
pwn,paiw1248
pww,pwon1235
pym,fyam1238
qug,chim1302
qui,quil1240
qum,sipa1247
quy,ayac1239
quz,cusc1236
qvc,caja1238
qvh,huam1248
qvn,nort2980
qxa,chiq1249
rab,caml1239
rad,rade1240
ral,ralt1242
ram,cane1242
ran,rian1263
rao,raoo1244
rap,rapa1244
ras,tega1236
raw,rawa1265
rbb,ruma1248
rej,reja1240
ren,reng1252
rgr,resi1247
rim,nyat1246
rit,rita1239
rji,raji1240
rkb,rikb1245
rma,rama1270
rmb,remb1249
rml,balt1257
rmn,balk1252
rmo,sint1235
rmt,doma1258
rmw,wels1246
rmy,vlax1238
rng,rong1268
rnp,rong1264
rog,nort2994
roh,roma1326
roo,roto1249
rop,krio1252
rou,rung1258
rro,waim1251
rsl,russ1255
rth,rata1244
rtm,rotu1241
rug,rovi1238
run,rund1242
rut,rutu1240
rwa,rawo1244
rwo,rawa1267
sab,bugl1243
sac,mesk1242
saj,sahu1245
sbc,kele1258
sbe,sali1295
sbf,shab1252
sbs,subi1246
sbu,stod1241
sce,dong1285
scs,nort2942
sda,tora1261
sdg,savi1242
sdm,sema1269
sdo,buka1257
sdp,sher1257
sea,sema1266
sef,ceba1235
seh,nucl1396
sei,seri1257
sel,selk1253
sen,nane1238
ser,serr1255
sey,seco1241
sgh,shug1248
sgl,sang1343
sgw,seba1251
sgz,surs1246
shb,nina1238
shg,shua1254
shh,shos1248
shi,tach1250
shj,shat1244
shk,shil1265
shm,shah1254
shp,ship1254
shs,shus1248
sht,shas1239
shu,chad1249
shv,sheh1240
shy,tach1249
sid,sida1246
sif,siam1242
sip,sikk1242
sis,sius1254
siw,siwa1245
siz,siwi1239
sja,epen1239
sjd,kild1236
sjg,assa1269
sjr,siar1238
sjw,shaw1249
skb,saek1240
skd,sout2985
skf,saki1248
skh,siku1242
ski,sika1262
skj,seke1240
sku,saka1289
slc,sali1298
slh,sout2965
slk,slov1269
sll,salt1242
sln,sali1253
slp,lama1277
slr,sala1264
slu,sela1259
sly,sela1260
slz,maya1282
sma,sout2674
sme,nort2671
smq,samo1303
smr,sime1241
sna,shon1251
snc,sina1266
snf,noon1242
snn,sion1247
snp,sian1257
snq,sang1333
sob,sobe1238
sop,song1303
sot,sout2807
sov,sons1242
spo,spok1245
spp,supy1237
sps,sapo1253
spu,sapu1248
sqt,soqo1240
sri,siri1274
srl,isir1237
srn,sran1240
sro,camp1261
srs,sars1236
ssb,sout2918
ssd,siro1249
sse,bala1311
ssf,thao1240
ssn,waat1238
ssp,span1263
sst,sina1271
ssw,swat1243
ssy,saho1246
stc,natu1249
sto,ston1242
stp,sout2976
stt,bude1236
sua,sulk1246
sub,suku1259
sue,suen1241
sui,suki1245
suk,suku1261
sum,sumu1234
suq,suri1267
suv,sulu1241
sva,svan1243
svs,savo1255
swb,maor1244
swi,suii1243
swl,swed1236
swt,sawi1256
swv,shek1243
sxn,sang1336
sza,seme1247
szg,seng1278
szp,suab1238
szw,sawa1247
taa,lowe1425
tab,taba1259
tac,lowl1265
tae,tari1256
tah,tahi1242
tan,nucl1696
tao,yami1254
tap,taab1238
tar,cent2131
tat,tata1255
tav,tatu1247
tba,aika1237
tbc,taki1248
tbd,kaki1249
tbg,nort2920
tbh,thur1254
tbi,gaam1241
tbl,tbol1240
tbo,tawa1275
tbu,tuba1279
tbw,tagb1258
tby,taba1263
tcb,tana1290
tcc,dato1239
tcf,mali1285
tcg,tama1336
tcs,torr1261
tdh,thul1246
tdn,tond1251
tds,dout1240
tea,temi1246
tee,hueh1236
teh,tehu1242
teo,teso1249
tep,tepe1278
teq,nucl1339
ter,tere1279
tet,tetu1245
teu,sooo1256
tex,tenn1246
tfn,tana1289
tfr,teri1250
tft,tern1247
tgc,tiga1245
tge,east2346
tgg,tang1348
tgk,taji1245
tgo,sude1239
thd,thay1249
thf,than1259
thp,thom1243
ths,thak1245
thv,taha1241
tif,tifa1245
tih,timu1262
til,till1254
tin,tind1238
tio,teop1238
tir,tigr1271
tiv,tivv1240
tiw,tiwi1244
tiy,tiru1241
tjm,timu1245
tkl,toke1240
tkm,take1257
tkr,tsak1249
tks,take1255
tkw,tean1237
tlb,tobe1252
tlc,yecu1235
tld,tala1285
tlj,tali1258
tll,tete1250
tlo,talo1250
tly,taly1247
tma,tama1331
tmc,tuma1260
tmd,haru1245
tmq,tuml1238
tms,tima1241
tmu,iauu1242
tna,taca1256
tnc,tani1257
tnd,ango1257
tnk,kwam1252
tnl,lena1238
tnm,tabl1243
tnt,tont1239
tob,toba1269
toi,tong1318
toj,tojo1241
too,xico1235
tos,high1243
tow,jeme1245
tpj,tapi1253
tpm,tamp1252
tpq,tukp1239
tpt,tlac1235
tpy,trum1247
tqo,toar1246
tqw,tonk1249
trg,lish1246
tri,trio1238
tro,tara1313
trr,taus1253
trs,chic1273
trv,taro1264
trw,torw1241
tsg,taus1251
tsi,nucl1649
tsj,tsha1245
tsm,turk1288
tsn,tswa1253
tso,tson1249
tsq,thai1240
tss,taiw1241
tsu,tsou1248
tsv,tsog1243
tta,tute1247
ttc,tekt1235
tti,toba1266
ttm,nort2941
ttr,tera1251
ttt,musl1236
tty,sika1263
tub,tuba1278
tue,tuyu1244
tuh,taul1251
tui,tupu1244
tuk,turk1304
tuo,tuca1252
tus,tusc1257
tuv,turk1308
tvk,sout2859
tvl,tuva1244
tvo,tido1248
tvt,tuts1235
twa,twan1247
twf,nort1550
twu,term1237
txn,west2538
txu,kaya1330
txx,tata1257
tya,tauy1241
typ,thay1248
tza,tanz1238
tzb,tzel1255
tzc,tzot1262
tzm,cent2194
tzn,tugu1245
tzs,tzot1260
tzt,tzut1249
tzz,tzot1264
ubu,umbu1258
uby,ubyk1235
ude,udih1248
udi,udii1243
udl,wuzl1236
ugn,ugan1238
uks,urub1243
ulc,ulch1241
uli,ulit1238
ulk,meri1244
uma,umat1237
umb,umbu1257
ump,umpi1239
umu,muns1251
ung,ngar1284
unp,west2435
upv,urip1239
ura,urar1246
urb,urub1250
ure,uruu1244
urf,urad1239
urh,urho1239
uri,urim1252
urk,urak1238
urt,urat1244
ury,orya1242
usa,usar1243
ute,utes1238
uum,urum1249
uur,urav1235
uwa,kuku1280
uzn,nort2690
vaf,vafs1240
vai,vaii1241
vam,vani1248
van,valm1241
var,huar1255
vas,vasa1239
vay,wayu1241
ved,vedd1240
ven,vend1245
vep,veps1250
vif,vili1238
viv,idun1242
vka,kari1304
vkt,teng1267
vma,mart1255
vnm,vinm1237
vot,voti1245
waa,wall1238
wac,wasc1239
wal,wola1242
wam,wamp1249
wao,wapp1239
waq,wage1238
war,wara1300
was,wash1253
wau,waur1244
waw,waiw1244
wax,wata1253
way,waya1269
wba,wara1303
wbj,alag1248
wbk,waig1243
wbl,wakh1245
wbt,wanm1242
wbv,waja1257
wca,yano1262
wdj,wadj1254
wed,weda1241
wem,weme1239
wep,west2356
wer,weri1253
wgg,wang1290
wgy,warr1255
whg,nort2921
wib,sout2797
wig,wikn1245
win,hoch1243
wit,wint1259
wiv,mudu1242
wiw,wira1260
wiy,wiyo1248
wkw,waka1274
wlg,kunb1251
wlo,woli1241
wls,wall1257
wmb,wamb1258
wme,wamb1257
wms,wamb1259
wmt,walm1241
wnc,want1252
wnd,wand1263
wng,wang1299
wnu,usan1239
woa,tyar1236
woe,wole1240
wog,woga1249
woi,kama1365
wos,hang1263
wra,
wrb,warl1256
wrg,waru1264
wrm,waru1265
wrp,waro1242
wrr,ward1246
wrs,wari1266
wrz,wara1290
wsa,ware1253
wsk,wask1241
wti,bert1248
wwr,warr1258
wya,wyan1247
wyb,wang1291
wyy,west2519
xac,kach1279
xal,kalm1243
xam,xamm1241
xas,kama1351
xav,xava1240
xaw,kawa1283
xbi,komb1272
xbr,kamb1299
xch,chim1310
xcm,come1251
xcw,coah1252
xed,hdii1240
xer,xere1240
xho,xhos1239
xki,keny1241
xkp,kaba1276
xmf,ming1252
xmm,mala1481
xmu,kamu1258
xns,kana1283
xok,xokl1240
xom,komo1258
xra,krah1246
xsi,sioo1240
xsl,sout2959
xsr,sher1255
xsu,sanu1240
xte,kete1254
xub,bett1235
xuo,kuoo1238
xuu,kxoe1243
xwg,kweg1241
xxk,keoo1238
yaa,yami1256
yad,yagu1244
yae,pume1238
yag,yama1264
yah,yazg1240
yai,yagn1238
yao,yaoo1241
yap,yape1248
yaq,yaqu1251
ybe,west2402
ybi,yamp1242
ycn,yucu1253
ydd,east2295
yee,yima1243
yey,yeyi1239
ygr,yaga1260
yia,ying1247
yih,west2361
yii,yidi1250
yij,yind1247
yiy,yiry1245
yka,yaka1277
ykg,nort2745
yky,yako1252
yle,yele1255
yli,angg1239
yll,yill1241
ylr,yala1262
yly,nyal1254
ynd,yand1253
ynk,nauk1242
ynn,yana1271
yns,yans1239
yok,yoku1256
yon,yong1280
yrb,yare1248
ysr,sire1246
yss,yess1239
yua,yuca1254
yuf,hava1248
yui,yuru1263
yuj,kark1258
yuk,yuki1243
yul,yulu1243
yum,quec1382
yup,yukp1241
yur,yuro1248
yuu,yugh1240
yuy,east2337
yuz,yura1255
ywr,yawu1244
ywt,xish1235
zaa,sier1250
zab,sanj1284
zag,zagh1240
zai,isth1244
zav,yatz1235
zaw,mitl1236
zay,zays1235
zea,zeeu1238
zen,zena1248
zga,nucl1379
zgb,guib1245
zik,zima1244
zkk,kara1289
zlm,mala1479
zmc,marg1253
zmi,nege1240
zml,madn1237
zmq,mitu1240
zmt,mari1419
zmu,muru1266
zoh,chim1300
zor,rayo1235
zos,fran1266
zpd,sout3005
zpi,sant1451
zpm,mixt1426
zpq,zoog1238
zpz,texm1235
zro,zapa1253
zrs,nucl1594
azj,nort2697
cqd,chua1256
hus,huas1242
jac,popt1235
kjd,sout2949
moq,morb1239
taj,east2347
tpx,acat1239
vmb,mbab1239
wgi,nucl1620
aap,para1310
adc,
adw,amun1246
ako,akur1238
anb,ando1255
api,apia1248
aqz,akun1241
ark,arik1265
ash,abis1238
asn,xing1248
atr,waim1253
avv,avac1239
awe,awet1244
awt,araw1273
axg,mato1253
bdc,embe1259
caw,call1235
cbb,cabi1241
ccc,cham1318
ceg,cham1315
cht,chol1284
cot,caqu1242
cox,nant1250
cpb,ucay1237
cpc,ajyi1238
cpu,pich1237
crq,iyow1239
gny,
gqn,guan1270
gun,mbya1239
guu,yano1261
gvj,guaj1256
gvp,para1315
gyr,guar1292
inj,jung1240
inp,inap1242
kav,nucl1668
kbb,kaxu1237
knt,pano1254
ktx,kaxa1239
kxo,kano1245
kyr,kuru1309
ltn,latu1238
lul,olub1238
mav,sate1243
mmh,mehi1240
mpd,mach1268
mpu,maku1278
mtp,wich1262
mts,yora1241
myr,muni1258
nhd,chir1286
noj,nonu1241
nuc,nuku1263
omc,moch1259
opy,ofay1240
orw,orow1243
pah,tenh1241
pak,para1312
pbg,para1316
pcp,paca1246
pev,pemo1245
pno,pano1255
prq,ashe1272
prr,puri1262
psx,
pta,pait1247
pto,zoee1240
pyn,poya1241
qpt,
qub,hual1241
quf,lamb1276
quk,chac1250
qul,nort2976
qus,sant1432
quw,tena1240
qvo,napo1242
qvs,sanm1289
qwa,coro1247
qxl,sala1272
qxn,nort2979
qxw,jauj1238
rey,reye1240
sae,saba1268
sha,shal1242
sru,suru1262
suy,suya1243
swx,suru1263
sya,sian1254
taf,tapi1254
tit,tini1245
tpn,tupi1273
tpr,tupa1250
tqb,temb1276
trn,trin1274
tuf,cent2150
txi,ikpe1245
umo,umot1240
unk,enaw1238
urz,urue1240
vil,vile1241
xet,xeta1241
xir,xiri1243
xiy,xipa1240
xor,koru1247
xri,krik1239
xwa,kwaz1243
yab,yuhu1238
yar,yaba1248
yau,yuwa1244
yaw,yawa1261
yme,yame1242
yrl,nhen1239
yrm,dang1262
yuq,yuqu1240
yvt,yavi1244
ywn,yawa1260
zkp,saop1235
aab,alum1246
aac,arii1243
aad,amal1242
aae,arbe1236
aaf,aran1261
aag,ambr1239
aah,abua1245
aai,arif1239
aak,anka1246
aan,anam1249
aao,alge1240
aaq,east2544
aas,aasa1238
aat,arva1236
aaw,solo1258
aax,mand1444
aaz,amar1273
aba,abee1242
abc,amba1267
abd,cama1250
abf,abai1240
abg,abag1245
abh,taji1248
abl,lamp1242
abm,aban1242
abn,abua1244
abo,abon1238
abp,aben1249
abr,abro1238
abs,ambo1250
abu,abur1243
abw,pall1244
abx,inab1237
aby,anem1248
acb,anca1236
acd,giky1238
acf,sain1246
ack,akak1251
acl,akar1243
acp,east2403
acq,taiz1242
acs,acro1239
act,acht1238
acx,oman1239
acz,ache1245
add,dzod1238
ade,adel1244
adf,dhof1235
adg,ande1247
adh,adho1243
ado,abuu1241
adq,adan1248
adr,adon1237
aea,areb1238
aec,said1239
aee,nort2666
aek,haek1239
ael,ambe1247
aem,arem1240
aen,arme1259
aeq,aerr1238
aeu,akeu1235
aew,amba1269
aez,aeka1244
afd,anda1283
afe,putu1241
afg,afgh1239
afi,akru1241
afk,nanu1240
afo,eloy1241
afp,tape1242
afs,afro1254
aft,afit1238
afu,awut1241
aga,agua1251
agc,agat1236
age,anga1293
agf,argu1237
agi,agar1251
agj,argo1244
agk,isar1235
agl,femb1238
ago,tain1253
agp,para1320
ags,esim1238
agv,remo1247
agw,kahu1241
agy,sout2905
agz,mtir1235
aha,ahan1243
ahb,axam1237
ahi,tiag1235
ahm,mobu1235
ahn,ahan1244
aho,ahom1240
ahs,ashe1269
aic,ainb1238
aid,alng1239
aif,agii1245
aig,anti1245
aih,aich1238
aik,akee1238
ail,aime1238
aim,aimo1244
aio,aito1238
aip,buru1307
aiq,aima1241
air,airo1242
ais,nata1254
ait,arik1264
aix,aigh1235
aiy,alii1240
ajt,jude1263
aju,jude1265
ajw,ajaw1236
ajz,amri1238
akb,bata1290
akd,ukpe1249
akf,akpa1238
akg,anak1240
akh,anga1292
aki,aiom1240
akj,akaj1239
akk,akka1240
akm,akab1248
akp,siwu1238
akq,akkk1240
aks,akas1242
akt,akol1237
aku,akum1238
akw,akwa1248
aky,akak1253
ala,alag1242
alf,aleg1238
ali,amai1246
alj,alan1249
alk,alak1253
all,alla1247
alm,ambl1237
aln,gheg1238
alw,alab1254
alx,amol1235
alz,alur1250
ama,aman1266
amb,ambo1249
amg,amar1271
amj,amda1238
aml,warj1242
amq,amah1245
ams,sout2954
amt,amto1250
amv,ambe1248
amw,west2763
amx,anma1239
amz,atam1239
ana,anda1286
and,ansu1237
anf,anim1239
ang,olde1238
anj,anor1241
anl,anuu1241
anm,anal1239
anp,angi1238
anr,andh1242
ans,anse1238
anv,deny1238
anw,anaa1238
anx,andr1248
aob,abom1238
aod,anda1284
aoe,anga1294
aof,brag1240
aog,ango1255
aoh,arma1244
aok,arho1237
aol,alor1247
aon,bumb1241
aor,aore1237
aos,taik1255
aot,aton1241
aou,aoua1234
aox,ator1244
apf,agta1234
apg,ampa1239
apk,kiow1264
apl,lipa1241
apo,apal1255
app,apma1240
aps,arop1242
apv,alap1235
apx,aput1237
aqd,ampa1238
aqg,arig1246
aqm,atoh1238
aqn,nort2875
aqr,arha1237
arg,arag1245
arj,arap1275
arq,alge1239
ars,najd1235
aru,arua1263
arx,arua1261
asb,assi1247
asc,casu1237
asd,asas1240
asg,cish1238
asi,buru1308
asj,nsar1238
ask,ashk1246
asl,asil1242
aso,dano1240
asp,alge1235
asq,aust1252
asr,asur1254
ass,ipul1238
asv,asoa1238
asw,aust1253
asx,mura1271
asy,yaos1235
asz,asss1237
ata,pele1245
atb,zaiw1241
atc,atsa1242
atd,atam1240
ate,atem1241
atg,ivbi1241
ati,atti1239
atk,atii1237
atl,mtir1236
atm,ataa1240
atn,asht1244
ato,aton1242
atp,pudt1235
ats,gros1243
att,pamp1244
atu,reel1238
atv,nort2686
atx,arut1244
atz,arta1239
aua,asum1237
aub,alug1235
aud,anut1237
aue,kxau1241
aug,agun1238
auh,aush1241
aui,anuk1239
auj,awji1241
auk,heyo1240
aum,asun1235
auo,auyo1240
aup,maka1315
auq,anus1237
aur,arue1240
aut,aust1304
auu,auye1238
aux,aura1243
auz,uzbe1248
avb,avau1237
avd,alvi1241
ave,aves1237
avk,kota1280
avl,east2690
avo,agav1236
avs,aush1242
awc,cici1237
awg,angu1242
awh,awbo1238
awk,awab1243
awm,araw1272
awo,awak1250
awr,awer1241
aws,sout2941
awu,cent2118
awv,jair1235
aww,awun1245
awx,awar1248
awy,eder1237
axl,lowe1436
axx,xara1243
aya,awar1249
ayb,ayiz1245
ayc,sout2996
ayd,ayab1239
aye,ayer1245
ayg,giny1241
ayh,hadr1236
ayi,leyi1238
ayk,akuk1235
ayp,nort3142
ayq,ayip1235
ays,sors1239
ayt,bata1297
ayu,ayuu1242
ayy,taya1256
aza,azha1235
azd,east2695
azg,sanp1260
azm,ipal1235
azn,west2778
azo,awin1248
azt,fair1238
bab,bain1259
bac,badu1237
baf,nuba1241
bah,baha1260
baj,bara1367
bap,bant1281
bau,bada1258
bay,batu1258
bbe,bang1345
bbf,baib1251
bbg,bara1362
bbh,buga1247
bbi,baro1252
bbm,baba1263
bbn,unea1237
bbp,west2458
bbq,bama1251
bbr,gira1247
bbs,bakp1238
bbt,mbur1239
bbu,kulu1255
bbv,karn1252
bbw,baba1264
bby,befa1241
bbz,baba1273
bcc,sout2642
bcd,nort2860
bce,bame1260
bcf,bamu1257
bch,bari1286
bcn,bali1245
bcp,bali1274
bcr,babi1235
bct,bend1260
bcu,awad1244
bcv,shoo1247
bcy,baca1246
bcz,bain1261
bda,bayo1255
bdb,basa1286
bdd,buna1276
bdi,buru1301
bdj,baii1251
bdn,bald1241
bdo,moro1281
bdp,bend1258
bdt,boko1261
bdv,bodo1266
bdx,budo1241
bdz,bade1240
bea,beav1236
beb,bebe1248
bec,icev1238
bed,bedo1237
beg,bela1260
bei,beka1241
bek,bebe1252
bem,bemb1257
beo,beam1240
bep,beso1237
bes,besm1235
bet,guib1246
beu,blag1240
bey,beli1258
bez,bena1262
bfb,paur1238
bfc,nort2724
bfe,beta1253
bff,bofi1238
bfg,busa1255
bfh,blaf1238
bfj,bafa1249
bfk,bank1251
bfm,mmen1238
bfn,buna1278
bfo,malb1235
bfp,beba1238
bfr,bazi1237
bfs,sout2730
bfx,bant1293
bfy,bagh1251
bfz,maha1287
bga,gwam1244
bgb,bobo1255
bgc,hary1238
bgd,rath1242
bge,baur1251
bgf,bang1347
bgg,bugu1246
bgi,gian1241
bgj,bang1356
bgk,bitt1240
bgl,bola1249
bgm,baga1276
bgn,west2368
bgo,baga1273
bgs,taga1272
bgt,bugh1239
bgu,mbon1253
bgv,wark1247
bgw,bhat1265
bgx,balk1254
bgy,beng1287
bha,bhar1241
bhc,biga1238
bhd,bhad1241
bhe,bhay1238
bhf,odia1239
bhh,bukh1238
bhi,bhil1253
bhj,bahi1252
bhk,alba1269
bhl,bimi1240
bhn,boht1238
bhr,bara1369
bhs,buwa1243
bht,bhat1263
bhu,bhun1242
bhv,baha1257
bhz,bada1261
bie,bepo1240
big,bian1252
bij,
bil,bile1244
biq,bipi1237
bir,biso1243
bit,beri1253
biu,biet1238
biv,sout2790
biw,kolc1235
bix,bijo1238
biy,birh1242
biz,balo1261
bja,budz1238
bjc,bari1290
bje,biao1254
bjf,barz1241
bjg,bidy1244
bjj,kana1281
bjk,baro1253
bjl,bulu1253
bjm,baje1238
bjn,banj1239
bjo,mids1243
bjs,baja1265
bjt,bala1302
bju,busu1244
bjv,bedj1245
bjw,bakw1243
bjx,bana1288
bjz,baru1269
bka,kyak1243
bkb,fina1242
bkf,beek1238
bkg,bura1269
bkh,bako1249
bki,baki1244
bkj,pand1264
bkn,buki1248
bko,kwaa1265
bkp,boko1263
bkr,baku1263
bks,masb1237
bkt,bolo1262
bku,buhi1245
bkw,bekw1242
bkx,baik1238
bky,boky1238
bkz,bung1269
bld,bola1252
blf,buol1237
blh,kuwa1247
blj,bolo1268
blk,paok1235
blm,beli1257
bln,sout2912
blo,anii1245
blp,blab1237
blq,balu1257
blr,blan1242
bls,bala1314
blt,taid1247
blv,bolo1261
blx,magi1241
bly,notr1240
bma,lame1257
bmb,bemb1255
bmc,biem1237
bmd,baga1270
bme,lima1246
bmf,bomk1234
bmg,bamw1238
bmh,kein1239
bmj,bote1238
bmk,ghay1237
bml,bomb1261
bmm,nort2890
bmn,bina1271
bmo,bamb1265
bmp,bulg1265
bmq,bomu1247
bms,bilm1238
bmt,biao1256
bmv,bumm1238
bmw,bomw1238
bmx,baim1245
bmz,bara1378
bna,bone1254
bnb,book1241
bnd,band1355
bne,bint1245
bnf,masi1266
bnj,east2482
bnk,bier1244
bnl,boon1242
bnm,bata1285
bno,bant1288
bnp,bola1250
bnr,butm1237
bnu,bent1237
bnv,bone1255
bnw,bisi1244
bnx,bang1350
bny,bint1246
bnz,beez1238
bob,awee1242
boe,mund1328
bof,bolo1266
bog,bama1249
boh,boma1246
boj,anja1238
bok,bonj1234
