iso_code,glottocode
abi,abid1235
ada,adan1247
adj,adio1239
ahl,igoo1238
ajg,ajab1235
apd,suda1236
avu,avok1242
bav,veng1238
bba,baat1238
bbo,nort2819
bci,baou1238
beh,bial1238
bex,jurm1239
bfd,bafu1246
bfl,band1345
bhy,bhel1238
bib,biss1248
bim,bimo1239
bin,bini1246
bkc,baka1272
bkv,bekw1241
bom,bero1242
bqc,boko1266
bqx,baan1242
bsq,nucl1418
bss,akoo1248
btg,gagn1235
bud,ntch1242
bum,bulu1251
bza,band1352
bzx,hain1253
cko,anuf1239
cme,cerm1238
daf,dann1241
dbq,nucl1683
dgi,nort2780
dje,zarm1239
dop,lukp1238
dow,doya1240
dts,toro1252
dua,dual1243
dug,duru1249
dyo,jola1263
dyu,dyul1238
dzg,daza1242
ema,emai1241
emk,east2426
enn,enge1239
etu,ejag1239
ffm,maas1239
flr,fuli1240
fon,fonn1241
fub,adam1253
fuc,pula1263
fuf,pula1262
fuh,west2454
fuq,cent2018
gbo,nort2810
gde,gude1246
gej,genn1243
gjn,gonj1241
gkp,guin1254
gnd,zulg1242
gng,ngan1299
god,godi1239
gux,gour1243
gya,nort2775
ife,ifee1241
igb,ebir1243
ige,iged1239
ijs,sout2774
izi,izie1238
kbp,kabi1261
kdh,temm1241
khq,koyr1240
kik,kiku1240
kkj,kako1242
kmw,komo1260
kqs,nort2765
kri,krio1253
krs,gbay1288
kuj,kuri1259
kus,kusa1250
kza,west2466
kzr,kara1478
las,lama1275
led,lend1245
lee,lyel1241
lem,noma1260
lia,west2450
lig,ligb1244
lin,ling1263
lln,lele1276
lmp,limb1268
lns,lamn1239
lok,loko1255
lom,loma1260
lor,teen1242
lug,gand1255
maw,mamp1244
mbo,mboc1235
mcp,maka1304
mcu,came1252
mdj,mang1394
men,mend1266
mfn,cros1244
mgo,meta1238
mhi,madi1260
mif,mofu1248
mkw,kitu1245
mlq,west2500
mnf,mund1327
moa,mwan1250
mos,moss1236
mtb,anyi1244
muh,mund1326
mur,murl1244
mwk,kita1249
myk,mama1271
mzk,nige1255
mzw,degg1238
ncu,chum1261
neb,tour1242
nfr,nafa1258
nga,ngba1285
ngb,nort2774
nnh,ngie1241
nuv,nort2784
nwb,nyab1255
ozm,koon1245
pbi,park1239
pil,yomm1242
rel,rend1243
sag,sang1328
sba,ngam1268
seq,sena1262
sld,siss1242
snk,soni1259
spy,saba1262
srr,sere1260
sur,mwag1236
sus,susu1250
taq,tama1365
tbz,dita1238
ted,tepo1239
tem,timn1235
tfi,tofi1235
tik,tika1246
toq,topo1242
tsp,nort2787
ttq,tawa1286
tuq,teda1241
vag,vagl1239
vut,vute1244
wob,weno1238
wwa,waam1244
xon,konk1269
xsm,kase1253
yam,yamb1251
yas,nugu1242
yat,yamb1252
yer,taro1263
yre,yaou1238
zne,zand1248
adl,galo1242
apq,apuc1241
apt,apat1240
asm,assa1263
awa,awad1243
bfq,bada1257
bfw,bond1245
bhb,bhil1251
bkk,brok1247
bns,bund1253
bwo,boro1277
cdn,chau1259
drd,darm1243
gaq,gata1239
gau,mudh1235
gbj,bodo1267
gda,gade1236
gdb,pott1240
gju,guja1253
guj,guja1252
hlb,halb1244
hoc,hooo1248
iru,irul1243
jns,jaun1243
jun,juan1238
kfa,koda1255
kfb,nort2699
kfc,kond1295
kfd,korr1238
kff,koya1251
kfq,kork1243
kfy,kuma1273
knn,konk1267
kxu,kuii1252
kxv,kuvi1243
lae,patt1248
lbj,lada1244
lep,lepc1244
lmn,lamb1269
lus,lush1249
mai,mait1250
mar,mara1378
mjt,saur1249
mjw,karb1241
mrg,misi1242
mrr,mari1414
mxj,miju1243
nbi,maon1238
ncb,cent1990
nit,sout1549
njh,loth1237
njm,anga1288
njo,aona1235
nkh,khez1235
nmf,tang1336
nmo,moyo1238
nri,chok1243
nsm,sumi1235
nst,tase1235
pci,duru1236
pck,pait1244
peg,peng1244
san,sans1269
sat,sant1410
saz,saur1248
scl,shin1264
snd,sind1272
srb,sora1254
tam,tami1289
tcx,toda1252
tcy,tulu1258
tcz,thad1238
trp,kokb1239
urd,urdu1245
url,ural1274
vaa,vaag1238
xnr,kang1280
xuj,jenn1240
yea,ravu1237
yeu,yeru1240
aaa,ghot1243
aal,afad1236
aar,afar1241
aau,abau1245
abb,bank1256
abe,west2630
abj,akab1249
abk,abkh1244
abt,ambu1247
abv,baha1259
abz,abui1241
aca,acha1250
ach,acol1236
aci,akac1240
acm,meso1252
acn,acha1249
acr,achi1256
acu,achu1248
acv,achu1247
acw,hija1235
acy,cypr1248
adi,bori1243
adn,adan1251
ads,adam1238
adt,adny1235
adx,amdo1237
aeb,tuni1259
aed,arge1236
aer,east2379
aes,alse1251
aey,amel1241
afn,defa1248
afz,obok1239
agb,legb1242
agd,agar1252
agg,ango1254
agh,ngel1238
agm,anga1290
agq,aghe1239
agr,agua1253
agt,cent2084
agu,agua1252
agx,aghu1253
ahg,qima1242
ahh,aghu1255
ahk,akha1245
ahp,apro1235
aht,ahte1237
aia,aros1241
aib,ainu1251
aie,amar1272
aii,assy1241
aij,lish1245
aiw,aari1239
aja,ajas1235
aji,ajie1238
ajp,sout3123
akc,mpur1239
ake,akaw1239
akl,akla1240
akr,arak1252
akv,akhv1239
akx,akak1252
alc,qawa1238
ald,alla1248
alo,lari1255
alp,alun1238
alq,algo1255
alr,alut1245
alt,sout2694
alu,area1240
aly,alya1239
amf,hame1242
ami,amis1246
amk,amba1265
amm,amap1240
amn,aman1265
amo,amoo1242
amp,alam1246
amr,amar1274
amu,guer1243
amy,amii1238
ane,xara1244
anh,nend1239
ani,andi1255
ank,goem1240
ann,obol1243
ano,ando1256
anq,jara1245
anu,anua1242
any,anyi1245
anz,anem1249
aoa,ango1258
aoc,pemo1248
aoi,anin1240
aoj,mufi1238
aom,omie1241
aoz,uabm1237
apb,saaa1240
ape,buki1249
aph,athp1241
apj,jica1244
apm,mesc1238
apr,arop1243
apu,apur1254
apw,west2615
apy,apal1257
apz,safe1240
aqc,arch1244
aqp,atak1252
arb,stan1318
ard,arab1267
are,west2441
arh,arhu1242
ari,arik1262
arl,arab1268
aro,arao1248
arp,arap1274
arr,karo1305
arv,arbo1245
arw,araw1276
asa,asut1235
ase,amer1248
asf,aust1271
ast,astu1245
asu,toca1235
atj,atik1240
atq,aral1243
atw,atsu1245
aty,anei1239
auc,waor1240
aul,aulu1238
auw,awyi1241
ava,avar1256
avi,avik1243
avn,avat1244
avt,auuu1241
awb,awap1236
awi,aeky1238
axb,abip1241
axk,yaka1272
ayl,liby1240
ayn,sana1295
ayo,ayor1240
ayz,maib1239
azz,high1278
baa,baba1268
bae,bare1276
bak,bash1264
ban,bali1278
bar,bava1246
baw,bamb1266
baz,tune1241
bbb,nucl1630
bbc,bata1289
bbd,bauu1244
bbl,bats1242
bca,cent2004
bck,buna1275
bcl,cent2087
bcm,bann1247
bco,kalu1248
bcq,benc1235
bcs,kohu1244
bcw,bana1305
bde,bade1248
bdg,bong1289
bdh,baka1274
bdk,budu1248
bdl,indo1317
bdm,budu1265
bdq,bahn1262
bds,buru1320
bdu,orok1266
bdw,baha1258
bdy,midd1357
bee,byan1241
bef,bena1264
bej,beja1238
bel,bela1254
bev,dalo1238
bew,beta1252
bfa,bari1284
bfi,brit1235
bfu,gahr1239
bgp,east2304
bgq,bagr1243
bgr,bawm1236
bgz,bang1368
bhg,bina1277
bhm,bath1244
bho,bhoj1244
bhp,bima1247
bhq,tuka1249
bhw,biak1248
bia,badi1246
bid,bidi1241
bif,biaf1240
bio,naii1241
bip,bila1255
bis,bisl1239
bjb,bang1339
bjh,bahi1254
bji,burj1242
bjr,binu1245
bjy,baya1257
bkd,binu1244
bkl,beri1254
bkq,baka1277
blb,bilu1245
blc,bell1243
ble,bala1301
bli,boli1255
bll,bilo1248
blw,bala1310
blz,bala1315
bmi,bagi1246
bmr,muin1242
bmu,buru1306
bmy,bemb1258
bnc,bont1247
bng,beng1282
bni,bang1354
bnq,bant1286
boa,bora1263
bod,tibe1272
boi,barb1263
bor,boro1282
bos,bosn1245
bot,bong1285
boz,tiey1235
bpp,kaur1271
bps,sara1326
bpu,bong1291
bqp,busa1253
bqy,beng1239
brb,lave1249
brc,berb1259
brg,baur1253
brh,brah1256
bri,mokp1239
brm,bara1361
brn,boru1252
bru,east2332
brv,west2397
brx,bodo1269
bsc,bass1258
bsh,kati1270
bsn,bara1380
bsp,baga1272
bsw,bais1246
bth,biat1246
btz,bata1292
bue,beot1247
buf,bush1247
bug,bugi1244
buh,youn1235
buo,tere1278
buu,budu1250
bvb,bube1242
bvq,birr1240
bvr,bura1267
