language_id,language_name,latitude,longitude,lineage
iqui1243,Iquito,-3.31233,286.02954,"Zaparoan, Iquito-Arabela, Cahuarano-Iquito"
ikwo1238,Ikwo,6.31831,8.03044,"Atlantic-Congo, Volta-Congo, Benue-Congo, Igboid, Nuclear Igboid, Central-Northern Igbo, Izi-Ezaa-Ikwo-Mgbo"
ires1239,Yerisiam,-3.62803,135.025,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, South Halmahera-West New Guinea, Cenderawasih Bay, Southwest Cenderawasih Bay, Yaur-Yerisiam"
irar1238,Irarutu,-2.94438,133.586,"Austronesian, Malayo-Polynesian, Tanimbar-Bomberai, Eastern Bomberai, Nabi-Irarutu"
irig1241,Irigwe,9.85197,8.6525,"Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau, Benue-Congo Central Plateau, South-Central Benue-Congo Plateau"
iraq1241,Iraqw,-4.19948,35.2939,"Afro-Asiatic, Cushitic, South Cushitic, West Rift South Cushitic, Northern West Rift South Cushitic, Iraqwoid"
iran1263,Irántxe-Münkü,-12.7178,302.0194,
irrr1240,Ir,15.7188,106.564,Bookkeeping
irul1243,Irula of the Nilgiri,12.70645,79.95209,"Dravidian, South Dravidian, South Dravidian I, Tamil-Kannada, Tamil-Kota, Tamil-Toda, Tamil-Irula, Irula-Muduga"
kamb1302,Kamberau,-3.53189,133.518,"Nuclear Trans New Guinea, Asmat-Awyu-Ok, Asmat-Kamoro, Sabakor"
iray1237,Iraya,13.381,120.65,"Austronesian, Malayo-Polynesian, North Mangyan"
isab1240,Isabi,-5.83809,145.462,"Nuclear Trans New Guinea, Kainantu-Goroka, Goroka, Unclassified Goroka"
isco1239,Isconahua,-7.75236,285.4807,"Pano-Tacanan, Panoan, Mainline Pano, Pano Nawa, Poyanawa Subgroup"
isna1241,Isnag,18.2139,121.16,"Austronesian, Malayo-Polynesian, Northern Luzon, Cagayan Valley"
ital1275,Italian Sign Language,42.72915,12.42949,"Sign Language, L1 Sign Language, LSFic, Italian Sign"
iris1235,Irish Sign Language,53.315,-6.36541,"Sign Language, L1 Sign Language, LSFic"
esan1238,Esan,6.25685,6.33917,"Atlantic-Congo, Volta-Congo, Benue-Congo, Akpes-Edoid, Edoid, North-Central Edoid, Central Plains Edoid"
nkem1242,Nkem-Nkum,6.59158,8.68668,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Ekoid-Mbe, Ekoid, Bakor-Ejagham, Bakor, Northern Bakor, Abanyom-Nkem-Nkum"
ishk1246,Ishkashimi,36.67,71.55,"Indo-European, Classical Indo-European, Indo-Iranian, Iranian, Sanglechi-Ishkashimi"
icel1247,Icelandic,63.4837,-19.0212,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, North Germanic, West Scandinavian, Icelandic-Faroese"
masi1265,Masimasi,-2.00717,139.04,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, North New Guinea linkage, Sarmi-Jayapura Bay, Sarmi"
isan1243,Isanzu,-3.99991,34.846,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Nyaturu-Nilamba"
isok1239,Isoko,5.52889,6.24682,"Atlantic-Congo, Volta-Congo, Benue-Congo, Akpes-Edoid, Edoid, Southwestern Edoid"
isra1236,Israeli Sign Language,31.5279,34.7637,"Sign Language, L1 Sign Language, DGSic"
istr1244,Istriot,45.088,13.64,"Indo-European, Classical Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Italo-Dalmatian, Dalmatian Romance"
isum1240,Isu (Menchum Division),6.63731,9.96577,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Wide Grassfields, Narrow Grassfields, Ring, Center-West Ring, West Ring, Aghemic"
ital1282,Italian,43.0464,12.6489,"Indo-European, Classical Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Italo-Dalmatian, Italian Romance"
bino1237,Binongan Itneg,17.5972,120.876,"Austronesian, Malayo-Polynesian, Northern Luzon, Meso-Cordilleran, South-Central Cordilleran, Central Cordilleran, Kalinga-Itneg, Itneg"
sout3241,Southern Tidung,4.0,117.75,"Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, Sabahan, Southwest Sabahan, Greater Murutic, Murutic, Northern Murutic, Sumambu-Tagal, Tidung-Bulusu, Tidung"
iten1243,Itene,-12.2994,295.0159,"Chapacuran, Moreic-Waric, Moreic, Kujubim-More"
inla1260,Inlaod Itneg,17.61752,120.65389,"Austronesian, Malayo-Polynesian, Northern Luzon, Meso-Cordilleran, South-Central Cordilleran, Central Cordilleran, Kalinga-Itneg, Itneg"
jude1255,Judeo-Italian,43.1284,11.4723,"Indo-European, Classical Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Northwestern Shifted Romance, Gallo-Italian"
itel1242,West Itelmen,56.046173,156.30704,"Chukotko-Kamchatkan, Kamchatkan"
itum1245,Itu Mbon Uzo,5.52679,7.80378,"Atlantic-Congo, Volta-Congo, Benue-Congo, Delta Cross, Lower Cross, Nuclear Lower Cross, Central Lower Cross, Ibuoroic, Ibuoro-ItuMbuso-Nkari, Ibuoro-ItuMbuso"
iton1250,Itonama,-12.80431,295.64252,
iter1241,Iteri,-4.11998,141.585,"Left May, Western Left May, Iteri-Bo"
isek1239,Isekiri,5.81898,5.5862,"Atlantic-Congo, Volta-Congo, Benue-Congo, Defoid, Yoruboid, Edekiri"
maen1235,Maeng Itneg,17.2453,120.718,"Austronesian, Malayo-Polynesian, Northern Luzon, Meso-Cordilleran, South-Central Cordilleran, Central Cordilleran, Nuclear Cordilleran, Bontok-Kankanay, Kankanay, Maeng-Northern Kankanay"
itaw1240,Itawit,17.7329,121.58,"Austronesian, Malayo-Polynesian, Northern Luzon, Cagayan Valley, Ibanagic, Gaddangic"
itoo1242,Ito,5.14438,8.04626,"Atlantic-Congo, Volta-Congo, Benue-Congo, Delta Cross, Lower Cross, Nuclear Lower Cross, Central Lower Cross, Ibuoroic"
itik1240,Itik,-2.18342,139.341,"Tor-Orya, Tor"
